Time [s],Force sensor Rx,Stepper PUL
-0.007239875,1,1
-0.000000000,0,1
0.000008375,1,1
0.000086625,0,1
0.000095000,1,1
0.000104000,0,1
0.000121000,1,1
0.000130000,0,1
0.000138375,1,1
0.000173375,0,1
0.000207625,1,1
0.000216750,0,1
0.000233625,1,1
0.000260000,0,1
0.000268375,1,1
0.000277375,0,1
0.000285625,1,1
0.000346750,0,1
0.000355000,1,1
0.000364000,0,1
0.000372375,1,1
0.000381375,0,1
0.000407000,1,1
0.000433375,0,1
0.000467750,1,1
0.000476750,0,1
0.000485000,1,1
0.000494125,0,1
0.000511000,1,1
0.000520125,0,1
0.000528375,1,1
0.000537375,0,1
0.000545750,1,1
0.000554750,0,1
0.000580375,1,1
0.000606750,0,1
0.000623750,1,1
0.000693375,0,1
0.000701750,1,1
0.000710750,0,1
0.000727750,1,1
0.000736750,0,1
0.000753750,1,1
0.000780125,0,1
0.000805750,1,1
0.000814750,0,1
0.000857750,1,1
0.000866750,0,1
0.000875125,1,1
0.000892750,0,1
0.000901125,1,1
0.000910125,0,1
0.000927125,1,1
0.000953500,0,1
0.000970500,1,1
0.000996750,0,1
0.001005125,1,1
0.001022875,0,1
0.001031125,1,1
0.001040125,0,1
0.001074500,1,1
0.001083500,0,1
0.001100500,1,1
0.001126875,0,1
0.001135125,1,1
0.001152875,0,1
0.001161125,1,1
0.001170125,0,1
0.001178500,1,1
0.001213500,0,1
0.001239125,1,1
0.001256875,0,1
0.001273875,1,1
0.001300125,0,1
0.001334500,1,1
0.001360875,0,1
0.001369125,1,1
0.001386875,0,1
0.001395125,1,1
0.001412875,0,1
0.001421125,1,1
0.001430250,0,1
0.001447125,1,1
0.001473500,0,1
0.001490500,1,1
0.001508250,0,1
0.001516500,1,1
0.001534250,0,1
0.001542500,1,1
0.001560250,0,1
0.001568500,1,1
0.001586250,0,1
0.001594500,1,1
0.001612250,0,1
0.001637875,1,1
0.010011500,0,1
0.010019750,1,1
0.010098125,0,1
0.010106500,1,1
0.010115500,0,1
0.010132500,1,1
0.010141500,0,1
0.010149750,1,1
0.010184875,0,1
0.010219125,1,1
0.010228125,0,1
0.010245125,1,1
0.010271500,0,1
0.010288500,1,1
0.010358250,0,1
0.010366500,1,1
0.010375500,0,1
0.010383875,1,1
0.010392875,0,1
0.010418500,1,1
0.010444875,0,1
0.010479125,1,1
0.010488250,0,1
0.010496500,1,1
0.010505500,0,1
0.010522500,1,1
0.010531625,0,1
0.010539875,1,1
0.010548875,0,1
0.010557250,1,1
0.010566250,0,1
0.010591875,1,1
0.010618250,0,1
0.010635250,1,1
0.010704875,0,1
0.010713250,1,1
0.010722250,0,1
0.010739250,1,1
0.010748250,0,1
0.010765250,1,1
0.010791625,0,1
0.010817250,1,1
0.010826250,0,1
0.010869250,1,1
0.010878250,0,1
0.010886625,1,1
0.010904250,0,1
0.010912625,1,1
0.010921625,0,1
0.010938625,1,1
0.010965000,0,1
0.010981875,1,1
0.011008250,0,1
0.011016625,1,1
0.011034250,0,1
0.011042625,1,1
0.011051625,0,1
0.011086000,1,1
0.011095000,0,1
0.011112000,1,1
0.011138375,0,1
0.011146625,1,1
0.011164375,0,1
0.011172625,1,1
0.011181625,0,1
0.011190000,1,1
0.011225000,0,1
0.011250625,1,1
0.011268375,0,1
0.011285250,1,1
0.011311625,0,1
0.011346000,1,1
0.011372375,0,1
0.011380625,1,1
0.011398375,0,1
0.011406625,1,1
0.011424375,0,1
0.011432625,1,1
0.011441750,0,1
0.011458625,1,1
0.011485000,0,1
0.011502000,1,1
0.011519750,0,1
0.011528000,1,1
0.011545750,0,1
0.011554000,1,1
0.011571750,0,1
0.011597375,1,1
0.011623750,0,1
0.011649375,1,1
0.020005625,0,1
0.020013875,1,1
0.020092250,0,1
0.020100625,1,1
0.020109625,0,1
0.020126625,1,1
0.020135625,0,1
0.020144000,1,1
0.020179000,0,1
0.020213250,1,1
0.020222375,0,1
0.020239250,1,1
0.020265625,0,1
0.020282625,1,1
0.020352375,0,1
0.020360625,1,1
0.020369750,0,1
0.020378000,1,1
0.020387000,0,1
0.020412625,1,1
0.020439000,0,1
0.020473375,1,1
0.020482375,0,1
0.020490625,1,1
0.020499750,0,1
0.020516625,1,1
0.020525750,0,1
0.020534000,1,1
0.020543000,0,1
0.020551375,1,1
0.020560375,0,1
0.020586000,1,1
0.020612375,0,1
0.020629375,1,1
0.020699125,0,1
0.020707375,1,1
0.020716375,0,1
0.020733375,1,1
0.020742375,0,1
0.020759375,1,1
0.020785750,0,1
0.020794000,1,1
0.020803125,0,1
0.020811375,1,1
0.020820375,0,1
0.020863375,1,1
0.020872375,0,1
0.020880750,1,1
0.020898375,0,1
0.020906750,1,1
0.020915750,0,1
0.020932750,1,1
0.020959125,0,1
0.020967375,1,1
0.021002375,0,1
0.021010750,1,1
0.021028500,0,1
0.021036750,1,1
0.021045750,0,1
0.021080125,1,1
0.021089125,0,1
0.021106125,1,1
0.021132500,0,1
0.021140750,1,1
0.021158500,0,1
0.021166750,1,1
0.021175750,0,1
0.021184125,1,1
0.021219125,0,1
0.021244750,1,1
0.021262500,0,1
0.021279500,1,1
0.021305875,0,1
0.021340125,1,1
0.021366500,0,1
0.021374750,1,1
0.021392500,0,1
0.021400750,1,1
0.021418500,0,1
0.021426750,1,1
0.021435875,0,1
0.021452750,1,1
0.021479125,0,1
0.021487500,1,1
0.021513875,0,1
0.021522125,1,1
0.021539875,0,1
0.021548125,1,1
0.021565875,0,1
0.021574125,1,1
0.021617875,0,1
0.021643500,1,1
0.030017125,0,1
0.030025375,1,1
0.030103750,0,1
0.030112125,1,1
0.030121125,0,1
0.030138125,1,1
0.030147125,0,1
0.030155375,1,1
0.030190500,0,1
0.030224750,1,1
